t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
136;1,1862380952380953;1,8572;1,73985;1,8145;1,8652850144643067;2,166993149319177;1,7194847721747626;2,3719669033690964
137;1,2280411255411254;1,7154090909090909;1,6524545454545454;1,7613636363636365;1,7392166734567258;2,361695057685596;2,5442251540047733;2,4864388216573743
138;1,3485374149659866;1,831;1,7583333333333333;1,8431904761904763;1,8073812197393158;2,055984574704035;1,4109431529527798;2,2122188491960566
139;1,3781309523809524;1,7556999999999998;1,69955;1,6482500000000002;1,6047234647236095;2,2071644018068852;2,449102467291105;2,1656193817862506
140;1,5166326530612244;1,902809523809524;1,860952380952381;1,9544761904761903;1,8275701021382655;2,058400688274418;1,4878148211637607;2,1847703222272092
141;1,481654135338346;1,8179473684210525;1,7663684210526316;1,8785263157894736;1,6217136943654251;2,372938917538764;2,6333390532170013;2,4240572579861213
142;1,4934467120181405;1,8296190476190475;1,8151428571428572;2,075190476190476;1,9423723785210698;2,299051203319669;1,9070423744325695;2,478745310590024
143;1,5774716553287982;1,9949523809523808;1,9653809523809525;2,212761904761905;1,7571335569956574;2,6026447607742758;3,0515395955439435;2,673987258350501
144;1,6661471861471862;2,1303181818181818;2,0915909090909093;2,2971363636363638;1,9676578122062747;2,3868592728674307;1,9801705502078195;2,584988740479573
145;1,6160317460317462;2,0297619047619047;2,0017619047619046;2,1362380952380953;1,697481236173217;2,5326090009014344;2,9450021451499464;2,546136150852254
146;1,6900340136054421;2,073095238095238;2,042666666666667;2,1384285714285713;1,9956261391150836;2,2943524112777762;1,7853553971482248;2,4874011552474533
147;1,6203726708074533;2,0765652173913045;2,053130434782609;2,0776521739130436;1,7369848388638873;2,5145728363432998;2,912072641172821;2,4965754174357557
148;1,6721929824561403;2,089684210526316;2,0356842105263158;2,2187894736842106;1,8891659211401435;2,137946286130116;1,6328674876761722;2,3309973278908527
149;1,6844927536231884;2,028260869565217;1,9694347826086955;2,254304347826087;1,7581076502186574;2,3556954385487825;2,604407985496838;2,473280794826091
150;1,3562738095238096;1,63055;1,5509499999999998;1,7274999999999998;1,8684167583008189;1,9809554379506982;1,2873235244314394;2,2014221809046277
151;1,1791137566137566;1,4635;1,371722222222222;1,6030555555555557;1,6402623088907502;2,165988351917205;2,474604935042513;2,170910733709446
152;1,2232312925170068;1,4263333333333332;1,354;1,6065238095238097;1,861638737684313;1,9642596299057857;1,363348554109358;2,1842256449755006
153;1,3084461152882205;1,565157894736842;1,4637894736842105;1,812578947368421;1,6306860673203039;2,3114350591786974;2,6497478115652067;2,4371025529331525
154;1,3845578231292517;1,8122380952380954;1,8174285714285712;2,004;1,9511199913810087;2,196062144742716;1,7785178544082725;2,4763828663730787
155;1,5205328798185942;2,039047619047619;2,005809523809524;2,507476190476191;1,7344165058540963;2,5545149484284573;3,0792683548286055;2,678557191846006
156;1,4482575757575757;1,9178181818181819;1,8824545454545456;2,245090909090909;1,9579145225043204;2,305878111638926;1,875601271651488;2,5776818798512267
157;1,3013690476190476;1,7403;1,72225;1,8512;1,658965088938941;2,4885119423831283;2,983992257418043;2,560391301495739
158;1,3656689342403627;1,8871428571428572;1,8521428571428573;1,9139523809523808;1,9749491933154553;2,215857940612216;1,6763148298423247;2,484908131946414
159;1,3049025974025974;1,694590909090909;1,6898636363636363;1,8092727272727274;1,6906229342115664;2,475277187790653;2,9333151340855714;2,5061297694973463
160;1,3558809523809523;1,73;1,6801;2,055;1,8617617244053297;2,0654571527324896;1,524223062266588;2,3278056104006395
161;1,2848343685300208;1,7282608695652173;1,6462173913043479;2,2186521739130436;1,707089339480146;2,3160305537592434;2,634961209446845;2,4892825920824055
