t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
52;0,1944587183900531;0,099246585010789;0,235306205905619;0,11919986785712651;0,2215328210005891;0,08245590396999287;0,20480157777517352;0,09517650483496955;0,19814310448022535;0,11126650591683601;0,21011642951155657;0,12432800730799026
53;0,15823926871635186;0,18184165526888152;0,35261229895632457;0,18974798510634083;0,15379777546186624;0,11580724617131011;0,27765201227388153;0,15591563108321227;0,14683151804393843;0,13098275247161112;0,2622815826798202;0,1558760043907942
54;0,17463359814761953;0,20245166083845137;0,39667317817793535;0,2313379575192608;0,15067412988189435;0,18258088941657707;0,31314286747774817;0,18711827331544034;0,15095572201568988;0,17012471234855636;0,3000163056054707;0,1663466275025881
55;0,18471438630678763;0,2145137721112134;0,3942962809647516;0,22040555691696578;0,1380205267093061;0,19365273414830525;0,34956802800162906;0,2164765031568391;0,16991240212339015;0,17304149700873042;0,3434728977795949;0,19505357801823908
56;0,14214128218570982;0,23038276716430842;0,384605970718395;0,22705420785240282;0,2011645783581291;0,2164731388381424;0,4021219731623901;0,21036449419198344;0,22835240939958784;0,1932799253312709;0,37532381127991943;0,18806870819611746
57;0,08435368919688757;0,33136011154070394;0,44590371896395714;0,24253961755778594;0,10034701678484015;0,21042738112929577;0,3174728772638265;0,21105600791005227;0,1491916150363708;0,20554002049185816;0,3347275434577629;0,21212496984628945
58;0,1627279853842923;0,18252272760877136;0,24236847510774007;0,21106119556815292;0,11139220774424051;0,24604690376731395;0,31800527855188354;0,22574236755721525;0,14917854838939928;0,23231636020453794;0,34310523830476164;0,2097887444282114
59;0,15841474580047374;0,10810692745410366;0,24567565624348123;0,1446851402567734;0,1553457593222523;0,20764045655999006;0,27651364544975476;0,20620893521363623;0,1889902871511269;0,20637118821980982;0,2861210516709828;0,20343953072462467
60;0,19062890835075072;0,13293893847023638;0,2916192214390345;0,14282852520797182;0,21069001245950209;0,17400899683703952;0,26017853988421136;0,15412433124600122;0,19462859655245196;0,17469242872990778;0,2689996134684919;0,16785775881421613
61;0,3694967213561326;0,17781889225454525;0,29516130847816885;0,16196293647557353;0,22110038304562785;0,13552763629735573;0,3017056962261303;0,14883770276036967;0,16245051671119282;0,13987517587392262;0,30855049198482176;0,1644451098353354
